credito_total,ingreso_mensual,frecuencia_ahorro,nivel_endeudamiento,pago_mensual_deudas,tipo,fecha,descripcion,tipoPago,monto,meses_a_deber,categoria
39682.78,9230.18,ALTA,4,854.23,Egreso,2025-03-08,Transaction at AirAsia,Debito,20599.36,0,Travel
38283.68,2703.77,NULA,15,684.34,Egreso,2025-11-30,Transaction at KFC,Credito,1260.41,9,Food
49684.91,1978.89,BAJA,85,1210.32,Egreso,2025-08-25,Transaction at Netflix,Transferencia,828.75,0,Entertainment
24963.66,1001.83,BAJA,35,228.84,Egreso,2025-05-29,Transaction at Apple Store,Transferencia,131786.69,0,Electronics
27833.95,1306.23,MEDIA,85,1767.06,Egreso,2025-02-06,Transaction at Spotify,Transferencia,177.44,0,Entertainment
33435.65,8882.89,BAJA,23,1102.88,Egreso,2025-03-09,Transaction at Water Board,Transferencia,2367.05,0,Bills
5678.84,2406.07,MEDIA,24,1752.26,Egreso,2025-02-27,Transaction at Vodafone Idea,Transferencia,4047.44,0,Bills
26502.18,1518.52,MEDIA,73,988.46,Egreso,2025-05-20,Transaction at Zara,Transferencia,7133.34,0,Clothing
41698.83,5124.44,MEDIA,35,1414.19,Egreso,2025-12-27,Transaction at Ajio,Debito,6351.17,0,Online Shopping
23935.18,2736.56,BAJA,64,1973.81,Egreso,2025-05-20,Transaction at Boat Lifestyle,Debito,128424.24,0,Electronics
41588.52,2944.36,BAJA,86,651.63,Egreso,2025-02-08,Transaction at Aster,Transferencia,17253.66,0,Healthcare
29801.14,3319.17,BAJA,28,573.8,Egreso,2025-09-23,Transaction at OnePlus,Transferencia,134214.53,0,Electronics
20980.47,6859.39,NULA,63,956.73,Egreso,2025-09-25,Transaction at Adidas,Debito,7195.3,0,Clothing
30248.46,1215.75,MEDIA,90,1570.35,Egreso,2025-03-27,Transaction at CloudNine,Debito,18022.92,0,Healthcare
39150.46,5280.59,MEDIA,68,1879.81,Egreso,2025-02-06,Transaction at Taco Bell,Credito,1158.63,11,Food
10277.28,9632.34,ALTA,4,265.55,Egreso,2025-05-26,Transaction at Metro Rail,Transferencia,982.63,0,Transport
14238.87,1466.52,BAJA,35,603.49,Egreso,2025-10-04,Transaction at JioMart,Credito,552.08,11,Grocery
21838.6,7213.1,BAJA,28,409.14,Egreso,2025-05-07,Transaction at Zara,Transferencia,7654.25,0,Clothing
35423.34,6655.04,ALTA,39,1530.22,Egreso,2025-04-10,Transaction at Apple Store,Transferencia,111005.98,0,Electronics
10539.01,4900.16,ALTA,88,887.73,Egreso,2025-05-27,Transaction at Barbeque Nation,Transferencia,610.2,0,Food
27094.13,5455.98,ALTA,86,1865.61,Egreso,2025-11-03,Transaction at BigBazaar,Debito,2051.12,0,Grocery
17041.12,4630.81,BAJA,68,234.84,Egreso,2025-02-25,Transaction at Rapido,Transferencia,601.33,0,Transport
12967.24,8273.55,ALTA,25,1381.39,Egreso,2025-12-13,Transaction at Hotstar,Transferencia,850.41,0,Entertainment
10165.43,7967.01,MEDIA,38,760.41,Egreso,2025-10-05,Transaction at Snapdeal,Debito,17659.33,0,Online Shopping
23980.55,1551.07,ALTA,33,169.68,Egreso,2025-06-20,Transaction at Allen Solly,Debito,6845.1,0,Clothing
36455.53,2225.45,NULA,11,241.27,Egreso,2025-01-22,Transaction at 1mg,Credito,10543.34,5,Healthcare
11206.22,9892.54,BAJA,56,1877.94,Egreso,2025-09-16,Transaction at Biba,Transferencia,1592.02,0,Clothing
12172.0,2294.6,BAJA,28,1672.72,Egreso,2025-08-03,Transaction at Ola,Transferencia,1456.02,0,Transport
43667.59,3920.72,ALTA,11,1440.87,Egreso,2025-05-11,Transaction at Asus Store,Credito,39285.05,10,Electronics
11306.11,2449.06,MEDIA,73,133.96,Egreso,2025-11-30,Transaction at PharmEasy,Transferencia,14997.81,0,Healthcare
11233.57,2086.15,ALTA,30,1025.84,Egreso,2025-05-27,Transaction at Airtel,Transferencia,5491.42,0,Bills
26594.24,8267.84,BAJA,67,1774.18,Egreso,2025-10-17,Transaction at Hotstar,Transferencia,271.2,0,Entertainment
25713.72,8480.9,BAJA,22,305.37,Egreso,2025-06-21,Transaction at IndiGo,Transferencia,18720.15,0,Travel
17842.18,7342.25,ALTA,66,731.67,Egreso,2025-12-14,Transaction at Apollo Pharmacy,Debito,15857.73,0,Healthcare
16722.73,5938.64,BAJA,17,468.94,Egreso,2025-10-02,Transaction at A2B,Transferencia,606.98,0,Food
27045.71,3204.56,NULA,13,1243.97,Egreso,2025-06-01,Transaction at Taco Bell,Transferencia,866.89,0,Food
9931.02,7978.71,NULA,54,1940.59,Egreso,2025-09-24,Transaction at Uber,Transferencia,930.7,0,Transport
49155.84,3604.66,BAJA,55,619.78,Egreso,2025-06-12,Transaction at IndiGo,Credito,19578.06,11,Travel
47144.08,2430.6,MEDIA,57,1437.29,Egreso,2025-05-27,Transaction at Croma,Transferencia,102800.65,0,Electronics
23625.87,4137.15,MEDIA,73,870.58,Egreso,2025-05-15,Transaction at US Polo,Credito,7247.1,10,Clothing
45003.53,8993.55,BAJA,81,218.54,Egreso,2025-04-29,Transaction at DMart,Transferencia,1809.33,0,Grocery
17679.21,2901.06,BAJA,70,1295.46,Egreso,2025-11-24,Transaction at Ajio,Credito,3187.72,5,Online Shopping
39212.01,1123.29,MEDIA,99,386.68,Egreso,2025-11-03,Transaction at Biba,Transferencia,4245.61,0,Clothing
23915.46,1030.87,NULA,2,1626.56,Egreso,2025-05-08,Transaction at Nykaa,Credito,16580.74,7,Online Shopping
33281.22,5385.74,NULA,75,999.41,Egreso,2025-11-28,Transaction at IRCTC,Debito,24587.69,0,Travel
7591.87,8007.63,ALTA,87,1938.36,Egreso,2025-02-15,Transaction at Goibibo,Credito,18246.21,1,Travel
24768.68,6153.44,NULA,92,892.84,Egreso,2025-05-16,Transaction at Croma,Transferencia,114729.44,0,Electronics
47585.59,7053.57,MEDIA,47,1171.91,Egreso,2025-12-24,Transaction at Aster,Transferencia,2573.77,0,Healthcare
40573.0,3952.59,NULA,46,192.68,Egreso,2025-11-03,Transaction at Ajio,Transferencia,12783.42,0,Online Shopping
48728.81,5367.68,MEDIA,86,951.46,Egreso,2025-05-11,Transaction at Netmeds,Transferencia,8942.95,0,Healthcare
12103.24,4143.03,MEDIA,4,271.13,Egreso,2025-01-04,Transaction at Jio Fiber,Credito,1317.31,9,Bills
47424.28,8400.23,BAJA,82,1405.41,Egreso,2025-01-06,Transaction at AirAsia,Transferencia,18249.98,0,Travel
9798.42,6398.39,BAJA,2,823.5,Egreso,2025-05-28,Transaction at SonyLiv,Debito,180.09,0,Entertainment
29765.66,5720.31,NULA,85,725.05,Egreso,2025-12-23,Transaction at Snapdeal,Credito,3790.59,10,Online Shopping
46186.36,3708.96,ALTA,47,1799.38,Egreso,2025-09-09,Transaction at Amazon,Credito,7246.88,2,Online Shopping
37568.51,1554.52,BAJA,32,1559.38,Egreso,2025-05-12,Transaction at Boat Lifestyle,Debito,81586.75,0,Electronics
26897.63,3583.45,MEDIA,31,1044.11,Egreso,2025-09-03,Transaction at Wrogn,Credito,3214.92,5,Clothing
6451.43,7387.95,BAJA,58,1905.9,Egreso,2025-01-28,Transaction at Uber,Transferencia,288.69,0,Transport
40206.85,4785.98,BAJA,2,1744.42,Egreso,2025-07-09,Transaction at Apollo Hospital,Debito,14951.4,0,Healthcare
16268.49,2871.28,BAJA,56,1231.56,Egreso,2025-06-03,Transaction at BigBazaar,Credito,3397.54,2,Grocery
18086.23,7015.11,ALTA,59,548.68,Egreso,2025-07-08,Transaction at Nilgiris,Transferencia,1139.88,0,Grocery
38664.51,8345.63,NULA,38,613.55,Egreso,2025-08-03,Transaction at Gaana,Transferencia,342.63,0,Entertainment
20768.61,1882.59,NULA,94,871.15,Egreso,2025-08-15,Transaction at TSRTC,Credito,892.7,7,Transport
33394.63,1774.72,NULA,18,1431.47,Egreso,2025-06-12,Transaction at Gaana,Transferencia,968.55,0,Entertainment
31667.55,5743.32,MEDIA,69,283.83,Egreso,2025-01-10,Transaction at Max Fashion,Transferencia,4490.07,0,Clothing
35538.71,5628.92,BAJA,49,1144.08,Egreso,2025-07-15,Transaction at Pizza Hut,Transferencia,1157.6,0,Food
35637.39,4010.83,BAJA,48,353.75,Egreso,2025-12-07,Transaction at 1mg,Credito,8764.35,4,Healthcare
8792.44,7656.34,BAJA,24,1682.0,Egreso,2025-01-26,Transaction at BMTC,Transferencia,1547.07,0,Transport
5151.39,5727.22,MEDIA,33,1560.54,Egreso,2025-08-28,Transaction at Ajio,Transferencia,8146.38,0,Online Shopping
13946.47,2057.58,NULA,78,639.03,Egreso,2025-02-05,Transaction at Meru Cabs,Credito,1920.03,9,Transport
38779.41,7285.11,BAJA,40,1162.11,Egreso,2025-10-06,Transaction at Max Fashion,Credito,1721.41,10,Clothing
42716.11,1779.57,MEDIA,74,1540.32,Egreso,2025-05-29,Transaction at Aster,Transferencia,14813.92,0,Healthcare
42158.76,5603.31,ALTA,99,1895.39,Egreso,2025-05-05,Transaction at ACT Fibernet,Debito,319.22,0,Bills
25544.1,6471.96,NULA,57,1588.1,Egreso,2025-04-27,Transaction at Water Board,Transferencia,2338.4,0,Bills
25425.87,1490.24,BAJA,28,388.76,Egreso,2025-09-02,Transaction at Vivo Store,Credito,61980.42,1,Electronics
26265.84,6914.36,MEDIA,5,1747.91,Egreso,2025-02-23,Transaction at Ola,Debito,822.4,0,Transport
42741.14,8640.07,NULA,78,1485.35,Egreso,2025-02-26,Transaction at YouTube Premium,Transferencia,184.47,0,Entertainment
7328.39,7486.41,NULA,37,1746.85,Egreso,2025-10-08,Transaction at Aster,Transferencia,4255.27,0,Healthcare
37038.69,9813.2,ALTA,30,466.62,Egreso,2025-11-14,Transaction at Pizza Hut,Transferencia,565.33,0,Food
17493.84,1700.4,NULA,17,1334.33,Egreso,2025-11-04,Transaction at BSNL,Transferencia,448.88,0,Bills
28114.11,4375.33,ALTA,19,1255.5,Egreso,2025-02-17,Transaction at Apollo Pharmacy,Transferencia,18445.07,0,Healthcare
35517.37,5314.92,BAJA,28,450.01,Egreso,2025-03-28,Transaction at Water Board,Transferencia,4260.5,0,Bills
30854.71,1663.64,NULA,0,857.64,Egreso,2025-04-16,Transaction at Chai Point,Transferencia,589.68,0,Food
10670.86,6453.33,BAJA,69,1230.56,Egreso,2025-07-01,Transaction at Booking.com,Debito,27712.34,0,Travel
32337.16,1602.56,ALTA,24,1411.99,Egreso,2025-06-23,Transaction at Nykaa,Transferencia,13376.26,0,Online Shopping
28650.81,5432.0,MEDIA,28,1637.49,Egreso,2025-03-17,Transaction at 1mg,Transferencia,1134.99,0,Healthcare
11618.26,3774.86,NULA,42,660.43,Egreso,2025-11-25,Transaction at CloudNine,Credito,12384.61,2,Healthcare
8809.26,2070.82,MEDIA,22,1812.76,Egreso,2025-11-08,Transaction at Pantaloons,Transferencia,6929.7,0,Clothing
7916.28,7558.43,NULA,72,114.82,Egreso,2025-11-26,Transaction at Reliance Digital,Transferencia,130642.49,0,Electronics
13223.84,4400.01,ALTA,40,1161.61,Egreso,2025-06-25,Transaction at Apple Store,Transferencia,79777.72,0,Electronics
45129.07,4894.75,NULA,26,1864.95,Egreso,2025-11-30,Transaction at MedPlus,Transferencia,3370.27,0,Healthcare
14577.82,5166.37,ALTA,55,846.97,Egreso,2025-12-05,Transaction at Zee5,Credito,337.71,6,Entertainment
6832.53,3512.64,ALTA,45,1938.51,Egreso,2025-07-12,Transaction at Ajio,Transferencia,4838.78,0,Online Shopping
38077.27,6406.18,MEDIA,93,415.08,Egreso,2025-06-07,Transaction at AirAsia,Transferencia,5198.69,0,Travel
47870.14,4265.14,BAJA,93,613.44,Egreso,2025-06-11,Transaction at Aha,Transferencia,837.72,0,Entertainment
26976.21,2519.29,NULA,22,1198.74,Egreso,2025-05-18,Transaction at Vivo Store,Transferencia,77283.47,0,Electronics
11722.77,5486.33,NULA,60,1974.88,Egreso,2025-04-28,Transaction at Asus Store,Transferencia,11685.73,0,Electronics
27691.65,5811.05,MEDIA,87,1945.61,Egreso,2025-10-21,Transaction at TSRTC,Transferencia,1439.75,0,Transport
40361.88,4210.55,ALTA,22,910.44,Egreso,2025-08-05,Transaction at Uber,Transferencia,1973.48,0,Transport
26499.41,4501.42,BAJA,40,1068.61,Egreso,2025-10-06,Transaction at Nike,Transferencia,4371.85,0,Clothing
17985.19,4804.69,BAJA,50,1218.34,Egreso,2025-03-02,Transaction at MedPlus,Transferencia,1402.49,0,Healthcare
10749.35,1857.38,MEDIA,93,1636.02,Egreso,2025-10-28,Transaction at A2B,Credito,1243.48,1,Food
30288.89,2605.01,MEDIA,35,1895.43,Egreso,2025-04-13,Transaction at Noise,Credito,113889.04,4,Electronics
29834.74,4732.92,ALTA,83,925.92,Egreso,2025-06-20,Transaction at Ola,Transferencia,1257.63,0,Transport
22846.53,7135.08,BAJA,73,1752.53,Egreso,2025-01-30,Transaction at Zee5,Transferencia,933.54,0,Entertainment
22824.94,5120.4,MEDIA,10,652.22,Egreso,2025-02-08,Transaction at Starbucks,Transferencia,651.61,0,Food
14643.59,9009.52,ALTA,31,1763.74,Egreso,2025-08-09,Transaction at Fortis,Debito,10637.38,0,Healthcare
9694.93,2735.38,ALTA,5,292.14,Egreso,2025-03-07,Transaction at Reliance Digital,Debito,18244.44,0,Electronics
13777.64,2877.89,ALTA,13,1197.31,Egreso,2025-08-18,Transaction at Ola,Transferencia,1887.66,0,Transport
43090.11,7239.88,MEDIA,51,646.01,Egreso,2025-12-15,Transaction at SonyLiv,Debito,145.96,0,Entertainment
12436.24,1545.51,MEDIA,51,186.49,Egreso,2025-03-31,Transaction at Booking.com,Transferencia,12967.17,0,Travel
36310.53,7381.93,BAJA,89,1752.1,Egreso,2025-06-29,Transaction at Sony Center,Transferencia,62817.88,0,Electronics
36384.13,8768.13,NULA,46,998.71,Egreso,2025-07-29,Transaction at Biba,Debito,4148.95,0,Clothing
9152.8,9597.63,NULA,72,913.01,Egreso,2025-04-30,Transaction at JioMart,Transferencia,2506.42,0,Grocery
35022.15,1123.1,BAJA,47,1614.44,Egreso,2025-11-15,Transaction at Rapido,Transferencia,228.04,0,Transport
33000.63,4334.6,BAJA,32,1706.29,Egreso,2025-11-03,Transaction at Amazon,Transferencia,3452.95,0,Online Shopping
42047.54,1010.45,NULA,10,1970.32,Egreso,2025-02-06,Transaction at CCD,Transferencia,623.51,0,Food
31136.57,5845.2,MEDIA,55,1537.02,Egreso,2025-07-25,Transaction at AirAsia,Transferencia,9974.99,0,Travel
48512.73,3665.57,MEDIA,21,458.38,Egreso,2025-08-30,Transaction at Reliance Fresh,Debito,1624.5,0,Grocery
35812.21,8649.13,ALTA,76,849.35,Egreso,2025-10-11,Transaction at Pepperfry,Transferencia,14948.76,0,Online Shopping
49041.88,8094.21,MEDIA,1,877.21,Egreso,2025-11-04,Transaction at SonyLiv,Transferencia,685.67,0,Entertainment
31953.57,1883.68,MEDIA,92,1556.92,Egreso,2025-03-06,Transaction at Reliance Digital,Debito,91984.49,0,Electronics
46956.34,4447.26,BAJA,79,329.09,Egreso,2025-05-06,Transaction at Spencers,Debito,4302.88,0,Grocery
20017.05,7204.62,NULA,95,1660.29,Egreso,2025-07-05,Transaction at Ajio,Transferencia,16992.09,0,Online Shopping
32003.26,1157.49,NULA,44,1195.51,Egreso,2025-06-20,Transaction at PharmEasy,Transferencia,15524.65,0,Healthcare
38815.64,2937.1,NULA,76,1622.41,Egreso,2025-08-27,Transaction at Air India,Credito,27984.0,11,Travel
40786.64,6885.42,MEDIA,57,264.51,Egreso,2025-08-25,Transaction at RedBus,Transferencia,1324.57,0,Transport
49337.58,4600.85,BAJA,12,1823.58,Egreso,2025-02-06,Transaction at Subway,Debito,1429.47,0,Food
37740.67,1703.81,BAJA,92,1479.65,Egreso,2025-09-08,Transaction at IndiGo,Transferencia,7841.59,0,Travel
44362.44,5115.5,NULA,88,1729.3,Egreso,2025-12-13,Transaction at Woodland,Transferencia,7711.86,0,Clothing
27262.2,1488.43,NULA,79,1138.56,Egreso,2025-05-06,Transaction at Ola,Credito,1376.98,3,Transport
31604.3,9891.31,NULA,74,1546.93,Egreso,2025-02-04,Transaction at A2B,Credito,563.71,11,Food
31424.48,1754.7,BAJA,89,357.42,Egreso,2025-11-02,Transaction at HP World,Transferencia,9965.75,0,Electronics
25018.03,5882.93,MEDIA,78,1525.03,Egreso,2025-02-16,Transaction at Lenskart,Transferencia,2429.44,0,Online Shopping
38628.35,9581.06,NULA,33,1960.06,Egreso,2025-12-29,Transaction at IndiGo,Credito,19630.5,6,Travel
21928.99,4702.82,MEDIA,74,251.0,Egreso,2025-06-25,Transaction at Cream Stone,Debito,832.44,0,Food
38562.46,8342.62,MEDIA,42,625.48,Egreso,2025-09-02,Transaction at RedBus,Transferencia,792.61,0,Transport
39390.81,2793.14,ALTA,66,245.69,Egreso,2025-12-22,Transaction at Amazon,Debito,17765.64,0,Online Shopping
17711.55,1166.09,ALTA,30,301.41,Egreso,2025-07-30,Transaction at Gaana,Transferencia,660.53,0,Entertainment
17443.23,7718.48,NULA,14,1808.73,Egreso,2025-12-24,Transaction at Paradise Biryani,Credito,194.1,6,Food
15464.65,5146.0,BAJA,75,1198.88,Egreso,2025-06-08,Transaction at Allen Solly,Transferencia,6496.52,0,Clothing
21958.37,5959.37,ALTA,81,211.18,Egreso,2025-12-08,Transaction at Zee5,Transferencia,669.09,0,Entertainment
14644.0,4426.12,MEDIA,98,339.35,Egreso,2025-04-12,Transaction at Taco Bell,Transferencia,126.15,0,Food
47842.96,2991.22,NULA,9,1183.13,Egreso,2025-02-22,Transaction at IndiGo,Transferencia,2297.18,0,Travel
7216.31,3746.44,BAJA,14,350.95,Egreso,2025-03-02,Transaction at US Polo,Credito,7251.49,1,Clothing
13548.33,2223.72,ALTA,47,872.81,Egreso,2025-09-29,Transaction at Allen Solly,Credito,545.49,8,Clothing
42152.05,7208.9,BAJA,77,105.67,Egreso,2025-01-08,Transaction at H&M,Credito,3749.25,9,Clothing
38275.66,7355.47,ALTA,12,1487.96,Egreso,2025-08-05,Transaction at Chai Point,Transferencia,981.12,0,Food
25826.63,5163.49,MEDIA,92,1796.53,Egreso,2025-07-08,Transaction at Mi Store,Transferencia,89726.7,0,Electronics
42808.26,1832.64,MEDIA,73,967.77,Egreso,2025-03-09,Transaction at Nature's Basket,Transferencia,525.86,0,Grocery
17956.58,9155.61,BAJA,95,1312.85,Egreso,2025-02-14,Transaction at OnePlus,Debito,149197.11,0,Electronics
21042.0,7578.36,NULA,17,773.88,Egreso,2025-12-29,Transaction at Water Board,Transferencia,1766.65,0,Bills
27362.76,3483.56,NULA,36,975.72,Egreso,2025-10-25,Transaction at A2B,Credito,1268.04,1,Food
39532.72,1884.33,ALTA,42,1350.37,Egreso,2025-11-10,Transaction at Flipkart,Transferencia,15804.76,0,Online Shopping
36522.46,6443.18,NULA,22,1770.43,Egreso,2025-12-22,Transaction at Tata Cliq,Debito,709.77,0,Online Shopping
43857.29,8998.62,NULA,74,1413.9,Egreso,2025-06-13,Transaction at Subway,Transferencia,525.91,0,Food
13673.21,1123.11,MEDIA,49,159.5,Egreso,2025-09-07,Transaction at AirAsia,Transferencia,21491.65,0,Travel
9046.85,2080.64,MEDIA,92,838.79,Egreso,2025-11-12,Transaction at CloudNine,Transferencia,10150.1,0,Healthcare
22540.01,1598.2,ALTA,55,458.48,Egreso,2025-11-06,Transaction at Property Tax Online,Credito,599.75,5,Bills
44635.53,3738.58,BAJA,83,1594.13,Egreso,2025-12-19,Transaction at Netflix,Transferencia,890.56,0,Entertainment
47489.06,6102.13,BAJA,33,718.68,Egreso,2025-05-21,Transaction at Yatra,Transferencia,24867.56,0,Travel
27332.61,9113.96,BAJA,91,984.99,Egreso,2025-07-11,Transaction at Wrogn,Transferencia,7653.49,0,Clothing
38549.46,1026.53,MEDIA,60,173.24,Egreso,2025-04-01,Transaction at A2B,Transferencia,1362.74,0,Food
7587.89,5208.5,MEDIA,70,1680.27,Egreso,2025-01-06,Transaction at McDonalds,Transferencia,448.3,0,Food
11966.31,3766.05,NULA,9,1757.8,Egreso,2025-08-30,Transaction at Biba,Transferencia,4150.21,0,Clothing
19052.39,8700.27,MEDIA,36,1170.12,Egreso,2025-12-23,Transaction at Netflix,Debito,825.99,0,Entertainment
38217.95,2528.26,BAJA,79,615.51,Egreso,2025-06-27,Transaction at Ajio,Debito,17939.67,0,Online Shopping
40617.39,3103.63,BAJA,54,1413.71,Egreso,2025-08-04,Transaction at Adidas,Transferencia,5732.02,0,Clothing
25316.63,5044.12,MEDIA,30,373.98,Egreso,2025-04-10,Transaction at Myntra,Transferencia,15843.46,0,Online Shopping
44445.57,5194.17,NULA,69,1868.34,Egreso,2025-09-14,Transaction at Woodland,Credito,2849.03,8,Clothing
9351.99,3108.72,BAJA,46,679.66,Egreso,2025-09-05,Transaction at Water Board,Debito,2133.83,0,Bills
34373.24,2939.03,MEDIA,47,1458.92,Egreso,2025-09-25,Transaction at Burger King,Debito,586.87,0,Food
30392.69,6649.91,NULA,43,435.27,Egreso,2025-11-25,Transaction at Vivo Store,Credito,52603.38,4,Electronics
47019.35,2049.67,MEDIA,42,1911.53,Egreso,2025-06-14,Transaction at Ajio,Credito,5364.84,6,Online Shopping
44228.77,1429.71,BAJA,29,1062.68,Egreso,2025-03-12,Transaction at Allen Solly,Transferencia,6585.16,0,Clothing
29997.63,2516.36,MEDIA,58,957.04,Egreso,2025-06-21,Transaction at Spencers,Transferencia,988.93,0,Grocery
19266.85,5548.73,BAJA,57,972.93,Egreso,2025-04-30,Transaction at Reliance Fresh,Transferencia,4025.14,0,Grocery
17188.27,9239.7,ALTA,63,1112.34,Egreso,2025-01-02,Transaction at Dell Exclusive,Debito,6757.48,0,Electronics
15481.0,3686.53,MEDIA,1,949.56,Egreso,2025-08-25,Transaction at Apollo Hospital,Debito,9203.48,0,Healthcare
17235.51,1113.94,BAJA,86,1853.62,Egreso,2025-04-29,Transaction at Apollo Pharmacy,Credito,18768.49,5,Healthcare
43486.27,1396.91,BAJA,32,1928.25,Egreso,2025-11-17,Transaction at YouTube Premium,Transferencia,528.73,0,Entertainment
37082.57,3859.54,NULA,98,513.3,Egreso,2025-10-20,Transaction at Biba,Credito,5811.09,11,Clothing
32952.7,3666.48,BAJA,50,128.35,Egreso,2025-03-21,Transaction at Adidas,Debito,729.05,0,Clothing
23605.77,8746.22,ALTA,73,1937.67,Egreso,2025-03-05,Transaction at Woodland,Transferencia,630.04,0,Clothing
19623.92,1914.4,ALTA,99,419.44,Egreso,2025-09-09,Transaction at Vivo Store,Debito,137121.24,0,Electronics
32319.96,6347.39,MEDIA,8,680.12,Egreso,2025-05-07,Transaction at Tata Cliq,Transferencia,4770.36,0,Online Shopping
42562.18,8167.89,BAJA,62,1770.0,Egreso,2025-11-01,Transaction at OYO,Credito,26210.65,7,Travel
9040.17,5614.0,NULA,1,177.1,Egreso,2025-12-04,Transaction at BigBazaar,Transferencia,4900.87,0,Grocery
45830.41,7978.9,BAJA,4,778.71,Egreso,2025-10-01,Transaction at Zee5,Credito,966.79,8,Entertainment
5690.69,3521.07,MEDIA,20,1012.22,Egreso,2025-01-26,Transaction at AirAsia,Transferencia,17034.33,0,Travel
42905.39,5219.57,NULA,42,851.85,Egreso,2025-04-29,Transaction at HP World,Credito,79693.95,5,Electronics
22968.49,2415.27,MEDIA,14,867.23,Egreso,2025-01-04,Transaction at Woodland,Debito,2147.95,0,Clothing
44336.24,8944.1,ALTA,96,573.91,Egreso,2025-12-26,Transaction at US Polo,Transferencia,6107.36,0,Clothing
18306.87,7103.79,ALTA,86,961.14,Egreso,2025-02-01,Transaction at Spencers,Transferencia,912.56,0,Grocery
29886.18,8100.08,ALTA,97,1363.04,Egreso,2025-03-13,Transaction at Myntra,Debito,9111.71,0,Online Shopping
29269.75,7671.23,NULA,75,581.6,Egreso,2025-03-05,Transaction at YouTube Premium,Credito,285.78,2,Entertainment
9612.63,8023.47,BAJA,85,1756.17,Egreso,2025-09-02,Transaction at Reliance Fresh,Debito,2726.01,0,Grocery
46005.55,6899.62,ALTA,46,853.78,Egreso,2025-11-18,Transaction at KFC,Credito,964.0,2,Food
49887.08,4505.68,ALTA,40,128.94,Egreso,2025-12-06,Transaction at Netmeds,Debito,1708.26,0,Healthcare
23838.95,4992.54,MEDIA,58,157.89,Egreso,2025-11-20,Transaction at Star Bazaar,Transferencia,1546.82,0,Grocery
31383.77,2582.18,MEDIA,31,1484.91,Egreso,2025-06-27,Transaction at Property Tax Online,Transferencia,748.22,0,Bills
22686.53,4205.21,NULA,15,867.39,Egreso,2025-10-10,Transaction at Air India,Transferencia,1636.45,0,Travel
21791.23,1910.79,BAJA,26,776.61,Egreso,2025-04-17,Transaction at Property Tax Online,Transferencia,5176.22,0,Bills
28955.81,8822.59,NULA,9,679.58,Egreso,2025-11-11,Transaction at Pepperfry,Credito,1846.59,8,Online Shopping
